term,class,prob
正常,3,0.0002399750425955700480936
正常,2,0.0000325340794482220123309
正常,5,0.0001558542762517046466331
狗,1,0.0028828029715046014393176
狗,3,0.0001199875212977850240468
狗,2,0.0001301363177928880493234
狗,5,0.0000389635690629261616583
表面,1,0.0001108770373655615886074
表面,3,0.0002279762904657915700835
表面,2,0.0000650681588964440246617
表面,5,0.0000389635690629261616583
然後,1,0.0005543851868278080107996
然後,3,0.0007919176405653811749719
然後,2,0.0001626703972411100548780
然後,5,0.0008961620884473018265604
細菌,1,0.0001108770373655615886074
細菌,3,0.0002759712989849055905442
細菌,2,0.0000325340794482220123309
細菌,5,0.0000389635690629261616583
知名,1,0.0001108770373655615886074
知名,3,0.0001679825298168990445075
知名,2,0.0004554771122751081861846
知名,5,0.0000389635690629261616583
我會,1,0.0001108770373655615886074
我會,3,0.0000599937606488925120234
我會,2,0.0002277385561375540930923
我會,5,0.0003896356906292616165827
有害,1,0.0001108770373655615886074
有害,3,0.0000959900170382280273689
有害,2,0.0000325340794482220123309
有害,5,0.0000389635690629261616583
以上,1,0.0002217540747311231772148
以上,3,0.0003479638117635765670252
以上,2,0.0000650681588964440246617
以上,5,0.0000389635690629261616583
排行榜,1,0.0001108770373655615886074
排行榜,3,0.0001319862734275635291620
排行榜,2,0.0000325340794482220123309
排行榜,5,0.0000389635690629261616583
歲,1,0.0008870162989244927088592
歲,3,0.0008879076576036092158933
歲,2,0.0022123174024790970282339
歲,5,0.0015975063315799727364092
年,1,0.0009978933362900543110191
年,3,0.0024117491780854790131561
年,2,0.0062790773335068481020294
年,5,0.0012857977790765634431430
其,1,0.0003326311120966847522697
其,3,0.0005759401022293681371086
其,2,0.0003578748739304421153107
其,5,0.0001558542762517046466331
出演,1,0.0001108770373655615886074
出演,3,0.0000359962563893355085693
出演,2,0.0005856134300679962084030
出演,5,0.0000389635690629261616583
疾病,1,0.0001108770373655615886074
疾病,3,0.0002639725468551270583240
疾病,2,0.0000325340794482220123309
疾病,5,0.0001948178453146308082913
吃,1,0.0024392948220423550306779
吃,3,0.0015958340332605409905842
吃,2,0.0006506815889644402195122
吃,5,0.0012078706409507111198265
與,1,0.0019957866725801086220382
與,3,0.0027717117419788343292419
與,2,0.0038390213748901976312244
與,5,0.0011299435028248587965100
紛紛,1,0.0002217540747311231772148
紛紛,3,0.0000239975042595570068422
紛紛,2,0.0003904089533786641750754
紛紛,5,0.0001168907071887784985273
事物,1,0.0001108770373655615886074
事物,3,0.0001559837776871205393923
事物,2,0.0000325340794482220123309
事物,5,0.0000389635690629261616583
當年,1,0.0001108770373655615886074
當年,3,0.0001199875212977850240468
當年,2,0.0009109542245502163723692
當年,5,0.0001558542762517046466331
客廳,1,0.0004435081494622463544296
客廳,3,0.0000119987521297785034211
客廳,2,0.0000325340794482220123309
客廳,5,0.0000389635690629261616583
口味,1,0.0001108770373655615886074
口味,3,0.0001319862734275635291620
口味,2,0.0000325340794482220123309
口味,5,0.0000389635690629261616583
回來,1,0.0006652622241933695045393
回來,3,0.0001199875212977850240468
回來,2,0.0000976022383446660437688
回來,5,0.0007013442431326709098488
當時,1,0.0009978933362900543110191
當時,3,0.0001319862734275635291620
當時,2,0.0013989654162735465098982
當時,5,0.0004675628287551139941093
具有,1,0.0002217540747311231772148
具有,3,0.0003959588202826905874859
具有,2,0.0000325340794482220123309
具有,5,0.0001168907071887784985273
抱怨,1,0.0001108770373655615886074
抱怨,3,0.0000359962563893355085693
抱怨,2,0.0000325340794482220123309
抱怨,5,0.0002337814143775569970547
促進,1,0.0001108770373655615886074
促進,3,0.0002519737947253485803138
促進,2,0.0000325340794482220123309
促進,5,0.0000389635690629261616583
;,1,0.0001108770373655615886074
;,3,0.0001199875212977850240468
;,2,0.0000325340794482220123309
;,5,0.0000389635690629261616583
不錯,1,0.0001108770373655615886074
不錯,3,0.0001919800340764560547379
不錯,2,0.0000976022383446660437688
不錯,5,0.0000779271381258523233165
